 # webanno.custom.Entity | NC
#id=1
#text=2 декабря в Цюрихе представители Международной футбольной ассоциации объявили о своем решении предоставить России право стать хозяйкой Чемпионата мира по футболу в 2018 году . Это объявление сделал президент ФИФА Йозеф Блаттер . Хозяином Чемпионата мира по футболу в 2022 году станет Катар
1-1	2	O	
1-2	декабря	B-NC	
1-3	в	O	
1-4	Цюрихе	B-NC	
1-5	представители	B-NC	
1-6	Международной	O	
1-7	футбольной	O	
1-8	ассоциации	B-NC	
1-9	объявили	O	
1-10	о	O	
1-11	своем	O	
1-12	решении	B-NC	
1-13	предоставить	O	
1-14	России	B-NC	
1-15	право	O	
1-16	стать	O	
1-17	хозяйкой	B-NC	
1-18	Чемпионата	B-NC	
1-19	мира	B-NC	
1-20	по	O	
1-21	футболу	B-NC	
1-22	в	O	
1-23	2018	O	
1-24	году	B-NC	
1-25	.	O	
1-26	Это	O	
1-27	объявление	B-NC	
1-28	сделал	O	
1-29	президент	B-NC	
1-30	ФИФА	B-NC	
1-31	Йозеф	B-NC	
1-32	Блаттер	B-NC	
1-33	.	O	
1-34	Хозяином	B-NC	
1-35	Чемпионата	B-NC	
1-36	мира	B-NC	
1-37	по	O	
1-38	футболу	B-NC	
1-39	в	O	
1-40	2022	O	
1-41	году	B-NC	
1-42	станет	O	
1-43	Катар	B-NC	

#id=2
#text=В первый раз восточноевропейская и ближневосточная страны проведут у себя этот международный футбольный турнир . В этом году Чемпионат проходил в Южной Африке , а в 2014 году соревнование состоится в Бразилии
2-1	В	O	
2-2	первый	O	
2-3	раз	B-NC	
2-4	восточноевропейская	O	
2-5	и	O	
2-6	ближневосточная	O	
2-7	страны	B-NC	
2-8	проведут	O	
2-9	у	O	
2-10	себя	O	
2-11	этот	O	
2-12	международный	O	
2-13	футбольный	O	
2-14	турнир	B-NC	
2-15	.	O	
2-16	В	O	
2-17	этом	O	
2-18	году	B-NC	
2-19	Чемпионат	B-NC	
2-20	проходил	O	
2-21	в	O	
2-22	Южной	O	
2-23	Африке	B-NC	
2-24	,	O	
2-25	а	O	
2-26	в	O	
2-27	2014	O	
2-28	году	B-NC	
2-29	соревнование	B-NC	
2-30	состоится	O	
2-31	в	O	
2-32	Бразилии	B-NC	

#id=3
#text=На почетное звание главного организатора Чемпионата мира футболу в 2018 году , помимо России , претендовали Великобритания , Испания , Португалия , Бельгия и Нидерланды . В свою очередь , принять у себя Чемпионат в 2022 году надеялись , помимо Катара , Япония , Южная Корея , Австралия и США
3-1	На	O	
3-2	почетное	O	
3-3	звание	B-NC	
3-4	главного	O	
3-5	организатора	B-NC	
3-6	Чемпионата	B-NC	
3-7	мира	B-NC	
3-8	футболу	B-NC	
3-9	в	O	
3-10	2018	O	
3-11	году	B-NC	
3-12	,	O	
3-13	помимо	O	
3-14	России	B-NC	
3-15	,	O	
3-16	претендовали	O	
3-17	Великобритания	B-NC	
3-18	,	O	
3-19	Испания	B-NC	
3-20	,	O	
3-21	Португалия	B-NC	
3-22	,	O	
3-23	Бельгия	B-NC	
3-24	и	O	
3-25	Нидерланды	B-NC	
3-26	.	O	
3-27	В	O	
3-28	свою	O	
3-29	очередь	B-NC	
3-30	,	O	
3-31	принять	O	
3-32	у	O	
3-33	себя	O	
3-34	Чемпионат	B-NC	
3-35	в	O	
3-36	2022	O	
3-37	году	B-NC	
3-38	надеялись	O	
3-39	,	O	
3-40	помимо	O	
3-41	Катара	B-NC	
3-42	,	O	
3-43	Япония	B-NC	
3-44	,	O	
3-45	Южная	O	
3-46	Корея	B-NC	
3-47	,	O	
3-48	Австралия	B-NC	
3-49	и	O	
3-50	США	B-NC	

