 # webanno.custom.Entity | NC
#id=1
#text=Стоя перед каминным зеркалом , она медленно сняла шляпу , затем взглянула с грустью на кольцо , которое носила на безыменном пальце левой руки , маленький серебряный перстенек со сплющенным , полустертым изображением Марата . Она смотрела на него , пока слезы не затуманили ей глаз , потом тихонько сняла его и кинула в огонь
1-1	Стоя	O	
1-2	перед	O	
1-3	каминным	O	
1-4	зеркалом	B-NC	
1-5	,	O	
1-6	она	O	
1-7	медленно	O	
1-8	сняла	O	
1-9	шляпу	B-NC	
1-10	,	O	
1-11	затем	O	
1-12	взглянула	O	
1-13	с	O	
1-14	грустью	B-NC	
1-15	на	O	
1-16	кольцо	B-NC	
1-17	,	O	
1-18	которое	O	
1-19	носила	O	
1-20	на	O	
1-21	безыменном	O	
1-22	пальце	B-NC	
1-23	левой	O	
1-24	руки	B-NC	
1-25	,	O	
1-26	маленький	O	
1-27	серебряный	O	
1-28	перстенек	B-NC	
1-29	со	O	
1-30	сплющенным	O	
1-31	,	O	
1-32	полустертым	O	
1-33	изображением	B-NC	
1-34	Марата	B-NC	
1-35	.	O	
1-36	Она	O	
1-37	смотрела	O	
1-38	на	O	
1-39	него	O	
1-40	,	O	
1-41	пока	O	
1-42	слезы	B-NC	
1-43	не	O	
1-44	затуманили	O	
1-45	ей	O	
1-46	глаз	B-NC	
1-47	,	O	
1-48	потом	O	
1-49	тихонько	O	
1-50	сняла	O	
1-51	его	O	
1-52	и	O	
1-53	кинула	O	
1-54	в	O	
1-55	огонь	B-NC	

#id=2
#text=И лишь после этого , улыбаясь сквозь слезы , похорошев от нежности и любви , она бросилась в объятия Филиппа
2-1	И	O	
2-2	лишь	O	
2-3	после	O	
2-4	этого	O	
2-5	,	O	
2-6	улыбаясь	O	
2-7	сквозь	O	
2-8	слезы	B-NC	
2-9	,	O	
2-10	похорошев	O	
2-11	от	O	
2-12	нежности	B-NC	
2-13	и	O	
2-14	любви	B-NC	
2-15	,	O	
2-16	она	O	
2-17	бросилась	O	
2-18	в	O	
2-19	объятия	B-NC	
2-20	Филиппа	B-NC	

#id=3
#text=Было уже далеко за полночь , когда гражданка Блез отперла своему любовнику дверь квартиры и шепнула ему в темноте
3-1	Было	O	
3-2	уже	O	
3-3	далеко	O	
3-4	за	O	
3-5	полночь	B-NC	
3-6	,	O	
3-7	когда	O	
3-8	гражданка	B-NC	
3-9	Блез	O	
3-10	отперла	O	
3-11	своему	O	
3-12	любовнику	B-NC	
3-13	дверь	B-NC	
3-14	квартиры	B-NC	
3-15	и	O	
3-16	шепнула	O	
3-17	ему	O	
3-18	в	O	
3-19	темноте	B-NC	

#id=4
#text=– Прощай , любовь моя ! Сейчас должен вернуться отец . Если ты услышишь шаги на лестнице , быстро поднимись этажом выше и не спускайся , пока не убедишься , что всякая опасность миновала . Внизу постучи три раза в окно привратнице : она выпустит тебя на улицу . Прощай , жизнь моя ! Прощай , моя душа
4-1	–	O	
4-2	Прощай	O	
4-3	,	O	
4-4	любовь	B-NC	
4-5	моя	O	
4-6	!	O	
4-7	Сейчас	O	
4-8	должен	O	
4-9	вернуться	O	
4-10	отец	B-NC	
4-11	.	O	
4-12	Если	O	
4-13	ты	O	
4-14	услышишь	O	
4-15	шаги	B-NC	
4-16	на	O	
4-17	лестнице	B-NC	
4-18	,	O	
4-19	быстро	O	
4-20	поднимись	O	
4-21	этажом	B-NC	
4-22	выше	O	
4-23	и	O	
4-24	не	O	
4-25	спускайся	O	
4-26	,	O	
4-27	пока	O	
4-28	не	O	
4-29	убедишься	O	
4-30	,	O	
4-31	что	O	
4-32	всякая	O	
4-33	опасность	B-NC	
4-34	миновала	O	
4-35	.	O	
4-36	Внизу	O	
4-37	постучи	O	
4-38	три	O	
4-39	раза	B-NC	
4-40	в	O	
4-41	окно	B-NC	
4-42	привратнице	B-NC	
4-43	:	O	
4-44	она	O	
4-45	выпустит	O	
4-46	тебя	O	
4-47	на	O	
4-48	улицу	B-NC	
4-49	.	O	
4-50	Прощай	O	
4-51	,	O	
4-52	жизнь	B-NC	
4-53	моя	O	
4-54	!	O	
4-55	Прощай	O	
4-56	,	O	
4-57	моя	O	
4-58	душа	B-NC	

#id=5
#text=Последние угли догорели в камине . Элоди , счастливая и усталая , бессильно опустила голову на подушку
5-1	Последние	O	
5-2	угли	B-NC	
5-3	догорели	O	
5-4	в	O	
5-5	камине	B-NC	
5-6	.	O	
5-7	Элоди	O	
5-8	,	O	
5-9	счастливая	O	
5-10	и	O	
5-11	усталая	O	
5-12	,	O	
5-13	бессильно	O	
5-14	опустила	O	
5-15	голову	B-NC	
5-16	на	O	
5-17	подушку	B-NC	

