 # webanno.custom.Entity | NC
#id=1
#text=При посадке в Иркутске разбился пассажирский самолёт А-310 авиакомпании «Сибирь» , по предварительным данным погибло более 120 человек . В 7:44 по местному времени ( 2:44 по Москве ) самолёт выехал за пределы посадочной полосы , пробил заграждение и врезался в гаражный бокс , вследствии чего на борту начался пожар
1-1	При	O	
1-2	посадке	B-NC	
1-3	в	O	
1-4	Иркутске	B-NC	
1-5	разбился	O	
1-6	пассажирский	O	
1-7	самолёт	B-NC	
1-8	А-310	O	
1-9	авиакомпании	B-NC	
1-10	«Сибирь»	O	
1-11	,	O	
1-12	по	O	
1-13	предварительным	O	
1-14	данным	B-NC	
1-15	погибло	O	
1-16	более	O	
1-17	120	O	
1-18	человек	B-NC	
1-19	.	O	
1-20	В	O	
1-21	7:44	O	
1-22	по	O	
1-23	местному	O	
1-24	времени	B-NC	
1-25	(	O	
1-26	2:44	O	
1-27	по	O	
1-28	Москве	B-NC	
1-29	)	O	
1-30	самолёт	B-NC	
1-31	выехал	O	
1-32	за	O	
1-33	пределы	B-NC	
1-34	посадочной	O	
1-35	полосы	B-NC	
1-36	,	O	
1-37	пробил	O	
1-38	заграждение	B-NC	
1-39	и	O	
1-40	врезался	O	
1-41	в	O	
1-42	гаражный	O	
1-43	бокс	B-NC	
1-44	,	O	
1-45	вследствии	B-NC	
1-46	чего	O	
1-47	на	O	
1-48	борту	B-NC	
1-49	начался	O	
1-50	пожар	B-NC	

#id=2
#text=На борту было 193 пассажира и 10 членов экипажа . По последним данным , в больницы Иркутска поступил 71 человек . Из под обломков самолёта извлечены тела 124 человек
2-1	На	O	
2-2	борту	B-NC	
2-3	было	O	
2-4	193	O	
2-5	пассажира	B-NC	
2-6	и	O	
2-7	10	O	
2-8	членов	B-NC	
2-9	экипажа	B-NC	
2-10	.	O	
2-11	По	O	
2-12	последним	O	
2-13	данным	B-NC	
2-14	,	O	
2-15	в	O	
2-16	больницы	B-NC	
2-17	Иркутска	B-NC	
2-18	поступил	O	
2-19	71	O	
2-20	человек	B-NC	
2-21	.	O	
2-22	Из	O	
2-23	под	O	
2-24	обломков	B-NC	
2-25	самолёта	B-NC	
2-26	извлечены	O	
2-27	тела	B-NC	
2-28	124	O	
2-29	человек	B-NC	

