#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=pitted plain :  Plain having numerous small closely spaced closed depressions.
1-1	0-6	pitted	_	A.1 Surface landform[1]	DEFINIENDUM[29]	_	_	
1-2	7-12	plain	_	A.1 Surface landform[1]	DEFINIENDUM[29]	_	_	
1-3	13-14	:	_	_	_	_	_	
1-4	16-21	Plain	plain	D.1 Abiotic	GENUS	_	_	
1-5	22-28	having	_	_	_	CONTAINS[42]	frame\_CONTAINS	
1-6	29-37	numerous	_	_	_	CONTAINS[42]	_	
1-7	38-43	small	_	_	_	CONTAINS[42]	_	
1-8	44-51	closely	_	_	_	CONTAINS[42]	_	
1-9	52-58	spaced	_	_	_	CONTAINS[42]	_	
1-10	59-65	closed	_	A.1 Surface landform[2]	_	CONTAINS[42]	_	
1-11	66-77	depressions	_	A.1 Surface landform[2]	_	CONTAINS[42]	_	
1-12	77-78	.	_	_	_	_	_	

#Text=pocket :  Solution cavity in ceiling, floor, or walls of a cave, shaped like the interior of a round-bottomed kettle; unrelated to joints or bedding.
2-1	79-85	pocket	_	A.2 Underground landform	DEFINIENDUM	_	_	
2-2	86-87	:	_	_	_	_	_	
2-3	89-97	Solution	_	_	_	HAS\_CAUSE	_	
2-4	98-104	cavity	_	D.1 Abiotic	GENUS	_	_	
2-5	105-107	in	_	_	_	HAS\_LOCATION[43]	frame\_LOCATION	
2-6	108-115	ceiling	_	_	_	HAS\_LOCATION[43]	_	
2-7	115-116	,	_	_	_	HAS\_LOCATION[43]	_	
2-8	117-122	floor	_	_	_	HAS\_LOCATION[43]	_	
2-9	122-123	,	_	_	_	HAS\_LOCATION[43]	_	
2-10	124-126	or	_	_	_	HAS\_LOCATION[43]	_	
2-11	127-132	walls	_	_	_	HAS\_LOCATION[43]	_	
2-12	133-135	of	_	_	_	HAS\_LOCATION[43]	_	
2-13	136-137	a	_	_	_	HAS\_LOCATION[43]	_	
2-14	138-142	cave	_	A.2 Underground landform	_	HAS\_LOCATION[43]	_	
2-15	142-143	,	_	_	_	_	_	
2-16	144-150	shaped	_	_	_	HAS\_FORM[44]	frame\_FORM[75]	
2-17	151-155	like	_	_	_	HAS\_FORM[44]	frame\_FORM[75]	
2-18	156-159	the	_	_	_	HAS\_FORM[44]	_	
2-19	160-168	interior	_	_	_	HAS\_FORM[44]	_	
2-20	169-171	of	_	_	_	HAS\_FORM[44]	_	
2-21	172-173	a	_	_	_	HAS\_FORM[44]	_	
2-22	174-188	round-bottomed	_	_	_	HAS\_FORM[44]	_	
2-23	189-195	kettle	_	_	_	HAS\_FORM[44]	_	
2-24	195-196	;	_	_	_	_	_	
2-25	197-206	unrelated	_	_	_	_	_	
2-26	207-209	to	_	_	_	_	_	
2-27	210-216	joints	_	_	_	_	_	
2-28	217-219	or	_	_	_	_	_	
2-29	220-227	bedding	_	_	_	_	_	
2-30	227-228	.	_	_	_	_	_	

#Text=polje :   In areas of karst topography, a very large closed depression, in some places several kilometers long and wide, having a flat floor either of bare limestone or covered by alluvium, and surrounded by generally steep walls of limestone. Synonym : interior valley.
3-1	229-234	polje	_	A.1 Surface landform	DEFINIENDUM	_	_	
3-2	235-236	:	_	_	_	_	_	
3-3	239-241	In	_	_	_	HAS\_LOCATION[45]	frame\_LOCATION	
3-4	242-247	areas	_	_	_	HAS\_LOCATION[45]	_	
3-5	248-250	of	_	_	_	HAS\_LOCATION[45]	_	
3-6	251-256	karst	_	C. Geome[3]	_	HAS\_LOCATION[45]	_	
3-7	257-267	topography	_	C. Geome[3]	_	HAS\_LOCATION[45]	_	
3-8	267-268	,	_	_	_	_	_	
3-9	269-270	a	_	_	_	_	_	
3-10	271-275	very	_	_	_	_	_	
3-11	276-281	large	_	_	_	_	_	
3-12	282-288	closed	_	A.1 Surface landform[4]	GENUS[30]	HAS\_FORM	_	
3-13	289-299	depression	_	A.1 Surface landform[4]	GENUS[30]	_	_	
3-14	299-300	,	_	_	_	_	_	
3-15	301-303	in	_	_	_	HAS\_SIZE[46]	_	
3-16	304-308	some	_	_	_	HAS\_SIZE[46]	_	
3-17	309-315	places	_	_	_	HAS\_SIZE[46]	_	
3-18	316-323	several	_	_	_	HAS\_SIZE[46]	_	
3-19	324-334	kilometers	_	_	_	HAS\_SIZE[46]	_	
3-20	335-339	long	_	_	_	HAS\_SIZE[46]	frame\_SIZE[76]	
3-21	340-343	and	_	_	_	HAS\_SIZE[46]	frame\_SIZE[76]	
3-22	344-348	wide	_	_	_	HAS\_SIZE[46]	frame\_SIZE[76]	
3-23	348-349	,	_	_	_	_	_	
3-24	350-356	having	_	_	_	CONTAINS[47]	frame\_CONTAINS	
3-25	357-358	a	_	_	_	CONTAINS[47]	_	
3-26	359-363	flat	_	_	_	CONTAINS[47]	_	
3-27	364-369	floor	_	_	_	CONTAINS[47]	_	
3-28	370-376	either	_	_	_	CONTAINS[47]	_	
3-29	377-379	of	_	_	_	CONTAINS[47]	_	
3-30	380-384	bare	_	_	_	CONTAINS[47]	_	
3-31	385-394	limestone	_	D.1 Abiotic	_	CONTAINS[47]	_	
3-32	395-397	or	_	_	_	CONTAINS[47]	_	
3-33	398-405	covered	_	_	_	CONTAINS[47]	_	
3-34	406-408	by	_	_	_	CONTAINS[47]	_	
3-35	409-417	alluvium	_	D.1 Abiotic	_	CONTAINS[47]	_	
3-36	417-418	,	_	_	_	_	_	
3-37	419-422	and	_	_	_	HAS\_FORM[48]	_	
3-38	423-433	surrounded	_	_	_	HAS\_FORM[48]	frame\_FORM[77]	
3-39	434-436	by	_	_	_	HAS\_FORM[48]	frame\_FORM[77]	
3-40	437-446	generally	_	_	_	HAS\_FORM[48]	_	
3-41	447-452	steep	_	_	_	HAS\_FORM[48]	_	
3-42	453-458	walls	_	_	_	HAS\_FORM[48]	_	
3-43	459-461	of	_	_	_	HAS\_FORM[48]	_	
3-44	462-471	limestone	_	D.1 Abiotic	_	HAS\_FORM[48]	_	
3-45	471-472	.	_	_	_	_	_	
3-46	473-480	Synonym	_	_	_	_	_	
3-47	481-482	:	_	_	_	_	_	
3-48	483-491	interior	_	A.1 Surface landform[5]	DEFINIENDUM[31]	_	_	
3-49	492-498	valley	_	A.1 Surface landform[5]	DEFINIENDUM[31]	_	_	
3-50	498-499	.	_	_	_	_	_	

