 # webanno.custom.Entity | NC
#id=1
#text=Боксёры ( англ . Boxer shorts или boxers ; также «семейные» , «семейники» ) — тип мужского нижнего белья . Представляют собой свободные , необтягивающие трусы в виде шортов . Английский термин «Boxer shorts» введён в обиход в 1944 году[1 ]
1-1	Боксёры	B-NC	
1-2	(	O	
1-3	англ	O	
1-4	.	O	
1-5	Boxer	O	
1-6	shorts	O	
1-7	или	O	
1-8	boxers	O	
1-9	;	O	
1-10	также	O	
1-11	«семейные»	O	
1-12	,	O	
1-13	«семейники»	O	
1-14	)	O	
1-15	—	O	
1-16	тип	B-NC	
1-17	мужского	O	
1-18	нижнего	O	
1-19	белья	B-NC	
1-20	.	O	
1-21	Представляют	O	
1-22	собой	O	
1-23	свободные	O	
1-24	,	O	
1-25	необтягивающие	O	
1-26	трусы	B-NC	
1-27	в	O	
1-28	виде	B-NC	
1-29	шортов	B-NC	
1-30	.	O	
1-31	Английский	O	
1-32	термин	B-NC	
1-33	«Boxer	O	
1-34	shorts»	O	
1-35	введён	O	
1-36	в	O	
1-37	обиход	B-NC	
1-38	в	O	
1-39	1944	O	
1-40	году[1	B-NC	
1-41	]	O	

