#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=stopnjasto brezno: Brezno, sestavljeno iz zaporednih vertikalnih stopenj, ki jih povezujejo police ali zvezni rovi. Globlja brezna so navadno stopnjasta.
1-1	0-10	stopnjasto	_	A.2 Underground landform[2]	DEFINIENDUM[31]	_	_	
1-2	11-17	brezno	_	A.2 Underground landform[2]	DEFINIENDUM[31]	_	_	
1-3	17-18	:	_	_	_	_	_	
1-4	19-25	Brezno	_	A.2 Underground landform	GENUS	_	_	
1-5	25-26	,	_	_	_	_	_	
1-6	27-38	sestavljeno	_	_	_	CONTAINS[47]	frame\_CONTAINS[68]	
1-7	39-41	iz	_	_	_	CONTAINS[47]	frame\_CONTAINS[68]	
1-8	42-52	zaporednih	_	_	_	CONTAINS[47]	_	
1-9	53-64	vertikalnih	_	_	_	CONTAINS[47]	_	
1-10	65-72	stopenj	_	_	_	CONTAINS[47]	_	
1-11	72-73	,	_	_	_	CONTAINS[47]	_	
1-12	74-76	ki	_	_	_	CONTAINS[47]	_	
1-13	77-80	jih	_	_	_	CONTAINS[47]	_	
1-14	81-91	povezujejo	_	_	_	CONTAINS[47]	_	
1-15	92-98	police	_	D.1 Abiotic	_	CONTAINS[47]	_	
1-16	99-102	ali	_	_	_	CONTAINS[47]	_	
1-17	103-109	zvezni	_	D.1 Abiotic[3]	_	CONTAINS[47]	_	
1-18	110-114	rovi	_	D.1 Abiotic[3]|D.1 Abiotic[4]	_	CONTAINS[47]	_	
1-19	114-115	.	_	_	_	_	_	
1-20	116-123	Globlja	_	_	_	_	_	
1-21	124-130	brezna	_	A.2 Underground landform	_	_	_	
1-22	131-133	so	_	_	_	_	_	
1-23	134-141	navadno	_	_	_	_	_	
1-24	142-152	stopnjasta	_	_	_	_	_	
1-25	152-153	.	_	_	_	_	_	

#Text=špranjasto brezno: V prečnem profilu je rov špranjast.
2-1	158-168	špranjasto	_	A.2 Underground landform[5]	DEFINIENDUM[32]	_	_	
2-2	169-175	brezno	_	A.2 Underground landform[5]	DEFINIENDUM[32]	_	_	
2-3	175-176	:	_	_	_	_	_	
2-4	177-178	V	_	_	_	HAS\_FORM[48]	frame\_FORM[69]	
2-5	179-186	prečnem	_	_	_	HAS\_FORM[48]	frame\_FORM[69]	
2-6	187-194	profilu	_	D.1 Abiotic	_	HAS\_FORM[48]	frame\_FORM[69]	
2-7	195-197	je	_	_	_	HAS\_FORM[48]	frame\_FORM[69]	
2-8	198-201	rov	_	D.1 Abiotic	_	HAS\_FORM[48]	_	
2-9	202-211	špranjast	_	_	_	HAS\_FORM[48]	_	
2-10	211-212	.	_	_	_	_	_	

#Text=vodnjakasto brezno: Podobno je vodnjaku. Ima gladke stene in enakomerno širino.
3-1	217-228	vodnjakasto	_	A.2 Underground landform[6]	DEFINIENDUM[33]	_	_	
3-2	229-235	brezno	_	A.2 Underground landform[6]	DEFINIENDUM[33]	_	_	
3-3	235-236	:	_	_	_	_	_	
3-4	237-244	Podobno	_	_	_	HAS\_FORM[49]	frame\_FORM[70]	
3-5	245-247	je	_	_	_	HAS\_FORM[49]	frame\_FORM[70]	
3-6	248-256	vodnjaku	_	D.1 Abiotic	_	HAS\_FORM[49]	_	
3-7	256-257	.	_	_	_	_	_	
3-8	258-261	Ima	_	_	_	HAS\_FORM[50]	frame\_FORM	
