 # webanno.custom.Entity | NC
#id=1
#text=" Come , do n't take on so , funny one ! I 'll manage for you to-morrow if you cannot find a place . " Her quiet persuasive whispering sounded in my ears as if it came through a dream
1-1	"	O	
1-2	Come	O	
1-3	,	O	
1-4	do	O	
1-5	n't	O	
1-6	take	O	
1-7	on	O	
1-8	so	O	
1-9	,	O	
1-10	funny	O	
1-11	one	O	
1-12	!	O	
1-13	I	O	
1-14	'll	O	
1-15	manage	O	
1-16	for	O	
1-17	you	O	
1-18	to-morrow	O	
1-19	if	O	
1-20	you	O	
1-21	cannot	O	
1-22	find	O	
1-23	a	O	
1-24	place	B-NC	
1-25	.	O	
1-26	"	O	
1-27	Her	O	
1-28	quiet	O	
1-29	persuasive	O	
1-30	whispering	B-NC	
1-31	sounded	O	
1-32	in	O	
1-33	my	O	
1-34	ears	B-NC	
1-35	as	O	
1-36	if	O	
1-37	it	O	
1-38	came	O	
1-39	through	O	
1-40	a	O	
1-41	dream	B-NC	

#id=2
#text=There we lay till dawn
2-1	There	O	
2-2	we	O	
2-3	lay	O	
2-4	till	O	
2-5	dawn	B-NC	

#id=3
#text=And when the dawn came , we crept from behind the skiff and went into the town ... Then we took friendly leave of each other and never met again , although for half a year I searched in every hole and corner for that kind Natasha , with whom I spent the autumn night just described
3-1	And	O	
3-2	when	O	
3-3	the	O	
3-4	dawn	B-NC	
3-5	came	O	
3-6	,	O	
3-7	we	O	
3-8	crept	O	
3-9	from	O	
3-10	behind	O	
3-11	the	O	
3-12	skiff	B-NC	
3-13	and	O	
3-14	went	O	
3-15	into	O	
3-16	the	O	
3-17	town	B-NC	
3-18	...	O	
3-19	Then	O	
3-20	we	O	
3-21	took	O	
3-22	friendly	O	
3-23	leave	B-NC	
3-24	of	O	
3-25	each	O	
3-26	other	O	
3-27	and	O	
3-28	never	O	
3-29	met	O	
3-30	again	O	
3-31	,	O	
3-32	although	O	
3-33	for	O	
3-34	half	O	
3-35	a	O	
3-36	year	B-NC	
3-37	I	O	
3-38	searched	O	
3-39	in	O	
3-40	every	O	
3-41	hole	B-NC	
3-42	and	O	
3-43	corner	B-NC	
3-44	for	O	
3-45	that	O	
3-46	kind	B-NC	
3-47	Natasha	B-NC	
3-48	,	O	
3-49	with	O	
3-50	whom	O	
3-51	I	O	
3-52	spent	O	
3-53	the	O	
3-54	autumn	B-NC	
3-55	night	B-NC	
3-56	just	O	
3-57	described	O	

#id=4
#text=If she be already dead--and well for her if it were so--may she rest in peace ! And if she be alive ... still I say " Peace to her soul ! " And may the consciousness of her fall never enter her soul ... for that would be a superfluous and fruitless suffering if life is to be lived
4-1	If	O	
4-2	she	O	
4-3	be	O	
4-4	already	O	
4-5	dead--and	O	
4-6	well	O	
4-7	for	O	
4-8	her	O	
4-9	if	O	
4-10	it	O	
4-11	were	O	
4-12	so--may	O	
4-13	she	O	
4-14	rest	B-NC	
4-15	in	O	
4-16	peace	B-NC	
4-17	!	O	
4-18	And	O	
4-19	if	O	
4-20	she	O	
4-21	be	O	
4-22	alive	O	
4-23	...	O	
4-24	still	O	
4-25	I	O	
4-26	say	O	
4-27	"	O	
4-28	Peace	B-NC	
4-29	to	O	
4-30	her	O	
4-31	soul	B-NC	
4-32	!	O	
4-33	"	O	
4-34	And	O	
4-35	may	O	
4-36	the	O	
4-37	consciousness	B-NC	
4-38	of	O	
4-39	her	O	
4-40	fall	O	
4-41	never	O	
4-42	enter	O	
4-43	her	O	
4-44	soul	B-NC	
4-45	...	O	
4-46	for	O	
4-47	that	O	
4-48	would	O	
4-49	be	O	
4-50	a	O	
4-51	superfluous	O	
4-52	and	O	
4-53	fruitless	O	
4-54	suffering	B-NC	
4-55	if	O	
4-56	life	B-NC	
4-57	is	O	
4-58	to	O	
4-59	be	O	
4-60	lived	O	

