 # webanno.custom.Entity | NC
#id=1
#text=Молодая рыжая собака - помесь такса с дворняжкой - очень похожая мордой на лисицу , бегала взад и вперед по тротуару и беспокойно оглядывалась посторонам . Изредка она останавливалась и , плача , приподнимая то одну озябшую лапу , то другую , старалась дать себе отчет : как это могло случиться , что она заблудилась
1-1	Молодая	O	
1-2	рыжая	O	
1-3	собака	B-NC	
1-4	-	O	
1-5	помесь	B-NC	
1-6	такса	B-NC	
1-7	с	O	
1-8	дворняжкой	B-NC	
1-9	-	O	
1-10	очень	O	
1-11	похожая	O	
1-12	мордой	B-NC	
1-13	на	O	
1-14	лисицу	B-NC	
1-15	,	O	
1-16	бегала	O	
1-17	взад	O	
1-18	и	O	
1-19	вперед	O	
1-20	по	O	
1-21	тротуару	B-NC	
1-22	и	O	
1-23	беспокойно	O	
1-24	оглядывалась	O	
1-25	посторонам	B-NC	
1-26	.	O	
1-27	Изредка	O	
1-28	она	O	
1-29	останавливалась	O	
1-30	и	O	
1-31	,	O	
1-32	плача	O	
1-33	,	O	
1-34	приподнимая	O	
1-35	то	O	
1-36	одну	O	
1-37	озябшую	O	
1-38	лапу	B-NC	
1-39	,	O	
1-40	то	O	
1-41	другую	O	
1-42	,	O	
1-43	старалась	O	
1-44	дать	O	
1-45	себе	O	
1-46	отчет	B-NC	
1-47	:	O	
1-48	как	O	
1-49	это	O	
1-50	могло	O	
1-51	случиться	O	
1-52	,	O	
1-53	что	O	
1-54	она	O	
1-55	заблудилась	O	

#id=2
#text=Она отлично помнила , как она провела день и как в конце концов попала на этот незнакомый тротуар
2-1	Она	O	
2-2	отлично	O	
2-3	помнила	O	
2-4	,	O	
2-5	как	O	
2-6	она	O	
2-7	провела	O	
2-8	день	B-NC	
2-9	и	O	
2-10	как	O	
2-11	в	O	
2-12	конце	B-NC	
2-13	концов	B-NC	
2-14	попала	O	
2-15	на	O	
2-16	этот	O	
2-17	незнакомый	O	
2-18	тротуар	B-NC	

#id=3
#text=День начался с того , что ее хозяин , столяр Лука Александрыч , надел шапку , взял под мышку какую - то деревянную штуку , завернутую в красный платок , и крикнул
3-1	День	B-NC	
3-2	начался	O	
3-3	с	O	
3-4	того	O	
3-5	,	O	
3-6	что	O	
3-7	ее	O	
3-8	хозяин	B-NC	
3-9	,	O	
3-10	столяр	B-NC	
3-11	Лука	B-NC	
3-12	Александрыч	B-NC	
3-13	,	O	
3-14	надел	O	
3-15	шапку	B-NC	
3-16	,	O	
3-17	взял	O	
3-18	под	O	
3-19	мышку	B-NC	
3-20	какую	O	
3-21	-	O	
3-22	то	O	
3-23	деревянную	O	
3-24	штуку	B-NC	
3-25	,	O	
3-26	завернутую	O	
3-27	в	O	
3-28	красный	O	
3-29	платок	B-NC	
3-30	,	O	
3-31	и	O	
3-32	крикнул	O	

#id=4
#text=- Каштанка , пойдем
4-1	-	O	
4-2	Каштанка	B-NC	
4-3	,	O	
4-4	пойдем	O	

#id=5
#text=Услыхав свое имя , помесь такса с дворняжкой вышла из - под верстака , где она спала на стружках , сладко потянулась и побежала за хозяином . Заказчики Луки Александрыча жили ужасно далеко , так что , прежде чем дойти до каждого из них , столяр должен был по нескольку раз заходить в трактир и подкрепляться . Каштанка помнила , что по дороге она вела себя крайне неприлично . От радости , что ее взяли гулять , она прыгала , бросалась с лаем на вагоны конножелезки , забегала во дворы и гонялась за собаками . Столяр то и дело терял ее из виду , останавливался и сердито кричал на нее . Раз даже он с выражением алчности на лице забрал в кулак ее лисье ухо , потрепал и проговорил с расстановкой
5-1	Услыхав	O	
5-2	свое	O	
5-3	имя	B-NC	
5-4	,	O	
5-5	помесь	B-NC	
5-6	такса	B-NC	
5-7	с	O	
5-8	дворняжкой	B-NC	
5-9	вышла	O	
5-10	из	O	
5-11	-	O	
5-12	под	O	
5-13	верстака	B-NC	
5-14	,	O	
5-15	где	O	
5-16	она	O	
5-17	спала	O	
5-18	на	O	
5-19	стружках	B-NC	
5-20	,	O	
5-21	сладко	O	
5-22	потянулась	O	
5-23	и	O	
5-24	побежала	O	
5-25	за	O	
5-26	хозяином	B-NC	
5-27	.	O	
5-28	Заказчики	B-NC	
5-29	Луки	B-NC	
5-30	Александрыча	B-NC	
5-31	жили	O	
5-32	ужасно	O	
5-33	далеко	O	
5-34	,	O	
5-35	так	O	
5-36	что	O	
5-37	,	O	
5-38	прежде	O	
5-39	чем	O	
5-40	дойти	O	
5-41	до	O	
5-42	каждого	O	
5-43	из	O	
5-44	них	O	
5-45	,	O	
5-46	столяр	B-NC	
5-47	должен	O	
5-48	был	O	
5-49	по	O	
5-50	нескольку	O	
5-51	раз	B-NC	
5-52	заходить	O	
5-53	в	O	
5-54	трактир	B-NC	
5-55	и	O	
5-56	подкрепляться	O	
5-57	.	O	
5-58	Каштанка	B-NC	
5-59	помнила	O	
5-60	,	O	
5-61	что	O	
5-62	по	O	
5-63	дороге	B-NC	
5-64	она	O	
5-65	вела	O	
5-66	себя	O	
5-67	крайне	O	
5-68	неприлично	O	
5-69	.	O	
5-70	От	O	
5-71	радости	B-NC	
5-72	,	O	
5-73	что	O	
5-74	ее	O	
5-75	взяли	O	
5-76	гулять	O	
5-77	,	O	
5-78	она	O	
5-79	прыгала	O	
5-80	,	O	
5-81	бросалась	O	
5-82	с	O	
5-83	лаем	B-NC	
5-84	на	O	
5-85	вагоны	B-NC	
5-86	конножелезки	B-NC	
5-87	,	O	
5-88	забегала	O	
5-89	во	O	
5-90	дворы	B-NC	
5-91	и	O	
5-92	гонялась	O	
5-93	за	O	
5-94	собаками	B-NC	
5-95	.	O	
5-96	Столяр	B-NC	
5-97	то	O	
5-98	и	O	
5-99	дело	B-NC	
5-100	терял	O	
5-101	ее	O	
5-102	из	O	
5-103	виду	B-NC	
5-104	,	O	
5-105	останавливался	O	
5-106	и	O	
5-107	сердито	O	
5-108	кричал	O	
5-109	на	O	
5-110	нее	O	
5-111	.	O	
5-112	Раз	O	
5-113	даже	O	
5-114	он	O	
5-115	с	O	
5-116	выражением	B-NC	
5-117	алчности	B-NC	
5-118	на	O	
5-119	лице	B-NC	
5-120	забрал	O	
5-121	в	O	
5-122	кулак	B-NC	
5-123	ее	O	
5-124	лисье	O	
5-125	ухо	B-NC	
5-126	,	O	
5-127	потрепал	O	
5-128	и	O	
5-129	проговорил	O	
5-130	с	O	
5-131	расстановкой	B-NC	

