 # webanno.custom.Entity | NC
#id=1
#text=Miami ( Vereinigte Staaten ) , 01.02.2012 – Mitt Romney hat sich bei den Vorwahlen im bevölkerungsreichen US-Bundesstaat Florida gegen Newt Gingrich durchgesetzt und 50 weitere Delegierte für den Parteitag der Republikaner Ende August hinter sich gebracht . 1.144 Delegiertenstimmen sind notwendig , um die republikanische Kandidatur gegen den demokratischen Amtsinhaber Barack Obama zu gewinnen . Romney erhielt 46,4 Prozent der abgegebenen Stimmen , Gingrich 31,9 Prozent . Auf den dritten Platz in der Gunst der republikanischen Wähler gelangte mit 13,4 Prozent Rick Santorum ; Ron Paul wählten 7,0 Prozent
1-1	Miami	B-NC	
1-2	(	O	
1-3	Vereinigte	O	
1-4	Staaten	B-NC	
1-5	)	O	
1-6	,	O	
1-7	01.02.2012	O	
1-8	–	B-NC	
1-9	Mitt	B-NC	
1-10	Romney	B-NC	
1-11	hat	O	
1-12	sich	O	
1-13	bei	O	
1-14	den	O	
1-15	Vorwahlen	B-NC	
1-16	im	O	
1-17	bevölkerungsreichen	O	
1-18	US-Bundesstaat	B-NC	
1-19	Florida	B-NC	
1-20	gegen	O	
1-21	Newt	O	
1-22	Gingrich	B-NC	
1-23	durchgesetzt	O	
1-24	und	O	
1-25	50	O	
1-26	weitere	O	
1-27	Delegierte	B-NC	
1-28	für	O	
1-29	den	O	
1-30	Parteitag	B-NC	
1-31	der	O	
1-32	Republikaner	B-NC	
1-33	Ende	B-NC	
1-34	August	B-NC	
1-35	hinter	O	
1-36	sich	O	
1-37	gebracht	O	
1-38	.	O	
1-39	1.144	O	
1-40	Delegiertenstimmen	B-NC	
1-41	sind	O	
1-42	notwendig	O	
1-43	,	O	
1-44	um	O	
1-45	die	O	
1-46	republikanische	O	
1-47	Kandidatur	B-NC	
1-48	gegen	O	
1-49	den	O	
1-50	demokratischen	O	
1-51	Amtsinhaber	B-NC	
1-52	Barack	B-NC	
1-53	Obama	B-NC	
1-54	zu	O	
1-55	gewinnen	O	
1-56	.	O	
1-57	Romney	B-NC	
1-58	erhielt	O	
1-59	46,4	O	
1-60	Prozent	B-NC	
1-61	der	O	
1-62	abgegebenen	O	
1-63	Stimmen	B-NC	
1-64	,	O	
1-65	Gingrich	B-NC	
1-66	31,9	O	
1-67	Prozent	B-NC	
1-68	.	O	
1-69	Auf	O	
1-70	den	O	
1-71	dritten	O	
1-72	Platz	B-NC	
1-73	in	O	
1-74	der	O	
1-75	Gunst	B-NC	
1-76	der	O	
1-77	republikanischen	O	
1-78	Wähler	B-NC	
1-79	gelangte	O	
1-80	mit	O	
1-81	13,4	O	
1-82	Prozent	B-NC	
1-83	Rick	B-NC	
1-84	Santorum	B-NC	
1-85	;	O	
1-86	Ron	B-NC	
1-87	Paul	B-NC	
1-88	wählten	O	
1-89	7,0	O	
1-90	Prozent	B-NC	

#id=2
#text=Die nächsten Vorwahlen finden am 4 . Februar in Nevada und am 7 . Februar in Colorado und Minnesota statt
2-1	Die	O	
2-2	nächsten	O	
2-3	Vorwahlen	B-NC	
2-4	finden	O	
2-5	am	O	
2-6	4	O	
2-7	.	O	
2-8	Februar	B-NC	
2-9	in	O	
2-10	Nevada	B-NC	
2-11	und	O	
2-12	am	O	
2-13	7	O	
2-14	.	O	
2-15	Februar	B-NC	
2-16	in	O	
2-17	Colorado	B-NC	
2-18	und	O	
2-19	Minnesota	B-NC	
2-20	statt	O	

