 # webanno.custom.Entity | NC
#id=1
#text=– Ну , не реви же , чудак ! Я тебя завтра устрою , коли тебе некуда деваться
1-1	–	O	
1-2	Ну	O	
1-3	,	O	
1-4	не	O	
1-5	реви	O	
1-6	же	O	
1-7	,	O	
1-8	чудак	B-NC	
1-9	!	O	
1-10	Я	O	
1-11	тебя	O	
1-12	завтра	O	
1-13	устрою	O	
1-14	,	O	
1-15	коли	O	
1-16	тебе	O	
1-17	некуда	O	
1-18	деваться	O	

#id=2
#text=– как сквозь сон слышал я тихий убедительный шёпот
2-1	–	O	
2-2	как	O	
2-3	сквозь	O	
2-4	сон	B-NC	
2-5	слышал	O	
2-6	я	O	
2-7	тихий	O	
2-8	убедительный	O	
2-9	шёпот	B-NC	

#id=3
#text=…До рассвета мы лежали в объятиях друг друга
3-1	…До	O	
3-2	рассвета	B-NC	
3-3	мы	O	
3-4	лежали	O	
3-5	в	O	
3-6	объятиях	B-NC	
3-7	друг	O	
3-8	друга	O	

#id=4
#text=А когда рассвело , вылезли из-под лодки и пошли в город … Потом дружески простились и более не встречались никогда , хотя я с полгода разыскивал по всем трущобам эту милую Наташу , с которой провёл описанную мною ночь , однажды осенью
4-1	А	O	
4-2	когда	O	
4-3	рассвело	O	
4-4	,	O	
4-5	вылезли	O	
4-6	из-под	B-NC	
4-7	лодки	B-NC	
4-8	и	O	
4-9	пошли	O	
4-10	в	O	
4-11	город	B-NC	
4-12	…	O	
4-13	Потом	O	
4-14	дружески	O	
4-15	простились	O	
4-16	и	O	
4-17	более	O	
4-18	не	O	
4-19	встречались	O	
4-20	никогда	O	
4-21	,	O	
4-22	хотя	O	
4-23	я	O	
4-24	с	O	
4-25	полгода	O	
4-26	разыскивал	O	
4-27	по	O	
4-28	всем	O	
4-29	трущобам	B-NC	
4-30	эту	O	
4-31	милую	B-NC	
4-32	Наташу	B-NC	
4-33	,	O	
4-34	с	O	
4-35	которой	O	
4-36	провёл	O	
4-37	описанную	O	
4-38	мною	O	
4-39	ночь	B-NC	
4-40	,	O	
4-41	однажды	O	
4-42	осенью	B-NC	

#id=5
#text=Если она уже умерла – как это хорошо для неё ! – в мире да почиет ! А если жива – мир душе её ! Да не проснётся в душе её сознание падения … ибо это было бы страданием излишним и бесплодным для жизни
5-1	Если	O	
5-2	она	O	
5-3	уже	O	
5-4	умерла	O	
5-5	–	O	
5-6	как	O	
5-7	это	O	
5-8	хорошо	O	
5-9	для	O	
5-10	неё	B-NC	
5-11	!	O	
5-12	–	O	
5-13	в	O	
5-14	мире	B-NC	
5-15	да	O	
5-16	почиет	O	
5-17	!	O	
5-18	А	O	
5-19	если	O	
5-20	жива	O	
5-21	–	O	
5-22	мир	B-NC	
5-23	душе	B-NC	
5-24	её	B-NC	
5-25	!	O	
5-26	Да	O	
5-27	не	O	
5-28	проснётся	O	
5-29	в	O	
5-30	душе	B-NC	
5-31	её	O	
5-32	сознание	B-NC	
5-33	падения	B-NC	
5-34	…	O	
5-35	ибо	O	
5-36	это	O	
5-37	было	O	
5-38	бы	O	
5-39	страданием	B-NC	
5-40	излишним	O	
5-41	и	O	
5-42	бесплодным	O	
5-43	для	O	
5-44	жизни	B-NC	

