 # webanno.custom.Entity | NC
#id=1
#text=Президент США Джордж Буш подписал закон о строительстве забора , длинной более 1000 км , на границе между США и Мексикой . Забор должен затруднить нелегальную иммиграцию из Мексики . При подписании закона , Буш сказал , что , к сожалению , за последние десятилетия США не смогли обеспечить полного контроля над границей . В последнее время нелегальная иммиграция из Мексики всё время увеличивалась , по некоторым оценкам , в настоящее время в США проживают 10 миллионов мексиканцев , из них четыре миллиона — нелегально . Мексика выступила с протестом против строительства забора
1-1	Президент	B-NC	
1-2	США	B-NC	
1-3	Джордж	B-NC	
1-4	Буш	B-NC	
1-5	подписал	O	
1-6	закон	B-NC	
1-7	о	O	
1-8	строительстве	B-NC	
1-9	забора	B-NC	
1-10	,	O	
1-11	длинной	O	
1-12	более	O	
1-13	1000	O	
1-14	км	B-NC	
1-15	,	O	
1-16	на	O	
1-17	границе	B-NC	
1-18	между	O	
1-19	США	B-NC	
1-20	и	O	
1-21	Мексикой	B-NC	
1-22	.	O	
1-23	Забор	B-NC	
1-24	должен	O	
1-25	затруднить	O	
1-26	нелегальную	O	
1-27	иммиграцию	B-NC	
1-28	из	O	
1-29	Мексики	B-NC	
1-30	.	O	
1-31	При	O	
1-32	подписании	B-NC	
1-33	закона	B-NC	
1-34	,	O	
1-35	Буш	B-NC	
1-36	сказал	O	
1-37	,	O	
1-38	что	O	
1-39	,	O	
1-40	к	O	
1-41	сожалению	B-NC	
1-42	,	O	
1-43	за	O	
1-44	последние	O	
1-45	десятилетия	B-NC	
1-46	США	B-NC	
1-47	не	O	
1-48	смогли	O	
1-49	обеспечить	O	
1-50	полного	O	
1-51	контроля	B-NC	
1-52	над	O	
1-53	границей	B-NC	
1-54	.	O	
1-55	В	O	
1-56	последнее	O	
1-57	время	B-NC	
1-58	нелегальная	O	
1-59	иммиграция	B-NC	
1-60	из	O	
1-61	Мексики	B-NC	
1-62	всё	B-NC	
1-63	время	B-NC	
1-64	увеличивалась	O	
1-65	,	O	
1-66	по	O	
1-67	некоторым	O	
1-68	оценкам	B-NC	
1-69	,	O	
1-70	в	O	
1-71	настоящее	O	
1-72	время	B-NC	
1-73	в	O	
1-74	США	B-NC	
1-75	проживают	O	
1-76	10	O	
1-77	миллионов	B-NC	
1-78	мексиканцев	B-NC	
1-79	,	O	
1-80	из	O	
1-81	них	O	
1-82	четыре	O	
1-83	миллиона	B-NC	
1-84	—	O	
1-85	нелегально	O	
1-86	.	O	
1-87	Мексика	B-NC	
1-88	выступила	O	
1-89	с	O	
1-90	протестом	B-NC	
1-91	против	O	
1-92	строительства	B-NC	
1-93	забора	B-NC	

#id=2
#text=Закон о заборе был принят Сенатом США на прошлой неделе . Строительство забора длинной 1125 км обойдётся в 1,2 миллиардов долларов
2-1	Закон	B-NC	
2-2	о	O	
2-3	заборе	B-NC	
2-4	был	O	
2-5	принят	O	
2-6	Сенатом	B-NC	
2-7	США	B-NC	
2-8	на	O	
2-9	прошлой	O	
2-10	неделе	B-NC	
2-11	.	O	
2-12	Строительство	B-NC	
2-13	забора	B-NC	
2-14	длинной	O	
2-15	1125	O	
2-16	км	B-NC	
2-17	обойдётся	O	
2-18	в	O	
2-19	1,2	O	
2-20	миллиардов	B-NC	
2-21	долларов	B-NC	

#id=3
#text=Министр иностранных дел Мексики Луис Эрнесто Дербез ( Luis Ernesto Derbez ) заявил , что такое решение оскорбительно для Мексики . Он добавил , что Мексика будет обращаться в ООН , чтобы предотвратить строительство забора . Президент Мексики назвал забор бесстыдством и сравнил его с берлинской стеной
