 # webanno.custom.Entity | NC
#id=1
#text=Ein Catsuit ist ein einteiliges , eng anliegendes Kleidungsstück , das den Körper nahezu komplett umhüllt . Im Gegensatz zu einem Leotard ist ein Catsuit knöchellang und bedeckt die Beine , Zentais bedecken zusätzlich auch Kopf und Gesicht . Catsuits werden häufig zur Kostümierung oder Maskierung des Trägers genutzt , als Sportbekleidung eingesetzt oder finden bei Bluescreen - Aufnahmen in der Filmindustrie Verwendung . [ 1
1-1	Ein	O	
1-2	Catsuit	B-NC	
1-3	ist	O	
1-4	ein	O	
1-5	einteiliges	O	
1-6	,	O	
1-7	eng	O	
1-8	anliegendes	O	
1-9	Kleidungsstück	B-NC	
1-10	,	O	
1-11	das	O	
1-12	den	O	
1-13	Körper	B-NC	
1-14	nahezu	O	
1-15	komplett	O	
1-16	umhüllt	O	
1-17	.	O	
1-18	Im	O	
1-19	Gegensatz	B-NC	
1-20	zu	O	
1-21	einem	O	
1-22	Leotard	B-NC	
1-23	ist	O	
1-24	ein	O	
1-25	Catsuit	B-NC	
1-26	knöchellang	O	
1-27	und	O	
1-28	bedeckt	O	
1-29	die	O	
1-30	Beine	B-NC	
1-31	,	O	
1-32	Zentais	B-NC	
1-33	bedecken	O	
1-34	zusätzlich	O	
1-35	auch	O	
1-36	Kopf	B-NC	
1-37	und	O	
1-38	Gesicht	B-NC	
1-39	.	O	
1-40	Catsuits	B-NC	
1-41	werden	O	
1-42	häufig	O	
1-43	zur	O	
1-44	Kostümierung	B-NC	
1-45	oder	O	
1-46	Maskierung	B-NC	
1-47	des	O	
1-48	Trägers	B-NC	
1-49	genutzt	O	
1-50	,	O	
1-51	als	O	
1-52	Sportbekleidung	B-NC	
1-53	eingesetzt	O	
1-54	oder	O	
1-55	finden	O	
1-56	bei	O	
1-57	Bluescreen	B-NC	
1-58	-	O	
1-59	Aufnahmen	B-NC	
1-60	in	O	
1-61	der	O	
1-62	Filmindustrie	B-NC	
1-63	Verwendung	B-NC	
1-64	.	O	
1-65	[	O	
1-66	1	O	

