 # webanno.custom.Entity | NC
#id=1
#text=Северная Корея заявила , что она провела успешное испытание ядерного оружия
1-1	Северная	O	
1-2	Корея	B-NC	
1-3	заявила	O	
1-4	,	O	
1-5	что	O	
1-6	она	O	
1-7	провела	O	
1-8	успешное	O	
1-9	испытание	B-NC	
1-10	ядерного	O	
1-11	оружия	B-NC	

#id=2
#text=Северная Корея заявляет , что её ядерная программа направлена сугубо на оборонительные цели , в связи с агрессивной политикой США
2-1	Северная	O	
2-2	Корея	B-NC	
2-3	заявляет	O	
2-4	,	O	
2-5	что	O	
2-6	её	O	
2-7	ядерная	O	
2-8	программа	B-NC	
2-9	направлена	O	
2-10	сугубо	O	
2-11	на	O	
2-12	оборонительные	O	
2-13	цели	B-NC	
2-14	,	O	
2-15	в	O	
2-16	связи	B-NC	
2-17	с	O	
2-18	агрессивной	O	
2-19	политикой	B-NC	
2-20	США	B-NC	

#id=3
#text=В 2005 году Северная Корея объявила себя ядерной державой . Сегодня это заявление получило фактическое подтверждения . 3 октября Северная Корея сделала предварительное объявление о предстоящем испытании . Большинство стран мира призывали Северную Корею отказаться от этих планов
3-1	В	O	
3-2	2005	O	
3-3	году	B-NC	
3-4	Северная	O	
3-5	Корея	B-NC	
3-6	объявила	O	
3-7	себя	O	
3-8	ядерной	O	
3-9	державой	B-NC	
3-10	.	O	
3-11	Сегодня	O	
3-12	это	O	
3-13	заявление	B-NC	
3-14	получило	O	
3-15	фактическое	O	
3-16	подтверждения	B-NC	
3-17	.	O	
3-18	3	O	
3-19	октября	B-NC	
3-20	Северная	O	
3-21	Корея	B-NC	
3-22	сделала	O	
3-23	предварительное	O	
3-24	объявление	B-NC	
3-25	о	O	
3-26	предстоящем	O	
3-27	испытании	B-NC	
3-28	.	O	
3-29	Большинство	B-NC	
3-30	стран	B-NC	
3-31	мира	B-NC	
3-32	призывали	O	
3-33	Северную	O	
3-34	Корею	B-NC	
3-35	отказаться	O	
3-36	от	O	
3-37	этих	O	
3-38	планов	B-NC	

#id=4
#text=Президент США Джордж Буш и Президент Южной Кореи Но Му Хён , что они не приемлют ядерных амбиций Северной Кореи
4-1	Президент	B-NC	
4-2	США	B-NC	
4-3	Джордж	B-NC	
4-4	Буш	B-NC	
4-5	и	O	
4-6	Президент	B-NC	
4-7	Южной	O	
4-8	Кореи	B-NC	
4-9	Но	O	
4-10	Му	B-NC	
4-11	Хён	O	
4-12	,	O	
4-13	что	O	
4-14	они	O	
4-15	не	O	
4-16	приемлют	O	
4-17	ядерных	O	
4-18	амбиций	B-NC	
4-19	Северной	O	
4-20	Кореи	B-NC	

#id=5
#text=Согласно заявлению Агентства новостей Северной Кореи , подземное испытание ядерной бомбы было успешным и не произошло никаких выбросов радиоактивности . Это было первое испытание ядерного оружия с 1998 года , когда такие испытания провели Индия и Пакистан
5-1	Согласно	O	
5-2	заявлению	B-NC	
5-3	Агентства	B-NC	
5-4	новостей	B-NC	
5-5	Северной	O	
5-6	Кореи	B-NC	
5-7	,	O	
5-8	подземное	O	
5-9	испытание	B-NC	
5-10	ядерной	O	
5-11	бомбы	B-NC	
5-12	было	O	
5-13	успешным	O	
5-14	и	O	
5-15	не	O	
5-16	произошло	O	
5-17	никаких	O	
5-18	выбросов	B-NC	
5-19	радиоактивности	B-NC	
5-20	.	O	
5-21	Это	O	
5-22	было	O	
5-23	первое	O	
5-24	испытание	B-NC	
5-25	ядерного	O	
5-26	оружия	B-NC	
5-27	с	O	
5-28	1998	O	
5-29	года	B-NC	
5-30	,	O	
5-31	когда	O	
5-32	такие	O	
5-33	испытания	B-NC	
5-34	провели	O	
5-35	Индия	B-NC	
5-36	и	O	
5-37	Пакистан	B-NC	

#id=6
#text=Сейсмостанции США зафиксировали подземный толчок , который связывается с ядерным испытанием , в 01:35:27 ( UTC )
6-1	Сейсмостанции	B-NC	
6-2	США	B-NC	
6-3	зафиксировали	O	
6-4	подземный	O	
6-5	толчок	B-NC	
6-6	,	O	
6-7	который	O	
6-8	связывается	O	
6-9	с	O	
6-10	ядерным	O	
6-11	испытанием	B-NC	
6-12	,	O	
6-13	в	O	
6-14	01:35:27	O	
6-15	(	O	
6-16	UTC	O	
6-17	)	O	

#id=7
#text=По оценкам , мощность подорванного заряда составляет 5 — 15 килотонн
7-1	По	O	
7-2	оценкам	B-NC	
7-3	,	O	
7-4	мощность	B-NC	
7-5	подорванного	O	
7-6	заряда	B-NC	
7-7	составляет	O	
7-8	5	O	
7-9	—	O	
7-10	15	O	
7-11	килотонн	B-NC	

#id=8
#text=Официальными обладателями ядерного оружия являются США , Россия , Великобритания , Франция и Китай . Индия , Пакистан и Израиль — неофициальные ядерные державы . Четвёртой неофициальной ядерной державой стала Северная Корея
8-1	Официальными	O	
8-2	обладателями	B-NC	
8-3	ядерного	O	
8-4	оружия	B-NC	
8-5	являются	O	
8-6	США	B-NC	
8-7	,	O	
8-8	Россия	B-NC	
8-9	,	O	
8-10	Великобритания	B-NC	
8-11	,	O	
8-12	Франция	B-NC	
8-13	и	O	
8-14	Китай	B-NC	
8-15	.	O	
8-16	Индия	B-NC	
8-17	,	O	
8-18	Пакистан	B-NC	
8-19	и	O	
8-20	Израиль	B-NC	
8-21	—	O	
8-22	неофициальные	O	
8-23	ядерные	O	
8-24	державы	B-NC	
8-25	.	O	
8-26	Четвёртой	O	
8-27	неофициальной	O	
8-28	ядерной	O	
8-29	державой	B-NC	
8-30	стала	O	
8-31	Северная	O	
8-32	Корея	B-NC	

