 # webanno.custom.Entity | NC
#id=1
#text=Кэтсьют или кэтсьюит ( англ . Catsuit — букв . костюм кошки ) — предмет одежды в виде разновидности комбинезона ( иногда с капюшоном или маской ) плотно облегающего тело[1 ] . Обычно изготавливается из латекса , винила , стрейч - кожи , лайкры , спандекса , бифлекса и других эластичных тканей и материалов . В качестве базового принято считать кэтсьют , покрывающий туловище , руки и ноги , за исключением кистей рук и ступней ног . Однако , имеются модели с добавленными перчатками , чулками и масками и капюшоном . Застёжка - молния может располагаться спереди ( с двумя - тремя бегунками , от копчика через пах до верха воротника ) или сзади ( с двумя - тремя бегунками , от пупка через пах до верха воротника )
1-1	Кэтсьют	B-NC	
1-2	или	O	
1-3	кэтсьюит	B-NC	
1-4	(	O	
1-5	англ	O	
1-6	.	O	
1-7	Catsuit	O	
1-8	—	O	
1-9	букв	B-NC	
1-10	.	O	
1-11	костюм	B-NC	
1-12	кошки	B-NC	
1-13	)	O	
1-14	—	O	
1-15	предмет	B-NC	
1-16	одежды	B-NC	
1-17	в	O	
1-18	виде	B-NC	
1-19	разновидности	B-NC	
1-20	комбинезона	B-NC	
1-21	(	O	
1-22	иногда	O	
1-23	с	O	
1-24	капюшоном	B-NC	
1-25	или	O	
1-26	маской	B-NC	
1-27	)	O	
1-28	плотно	O	
1-29	облегающего	O	
1-30	тело[1	B-NC	
1-31	]	O	
1-32	.	O	
1-33	Обычно	O	
1-34	изготавливается	O	
1-35	из	O	
1-36	латекса	B-NC	
1-37	,	O	
1-38	винила	O	
1-39	,	O	
1-40	стрейч	O	
1-41	-	O	
1-42	кожи	B-NC	
1-43	,	O	
1-44	лайкры	B-NC	
1-45	,	O	
1-46	спандекса	B-NC	
1-47	,	O	
1-48	бифлекса	B-NC	
1-49	и	O	
1-50	других	O	
1-51	эластичных	O	
1-52	тканей	B-NC	
1-53	и	O	
1-54	материалов	B-NC	
1-55	.	O	
1-56	В	O	
1-57	качестве	B-NC	
1-58	базового	O	
1-59	принято	O	
1-60	считать	O	
1-61	кэтсьют	B-NC	
1-62	,	O	
1-63	покрывающий	O	
1-64	туловище	B-NC	
1-65	,	O	
1-66	руки	B-NC	
1-67	и	O	
1-68	ноги	B-NC	
1-69	,	O	
1-70	за	O	
1-71	исключением	B-NC	
1-72	кистей	B-NC	
1-73	рук	B-NC	
1-74	и	O	
1-75	ступней	B-NC	
1-76	ног	B-NC	
1-77	.	O	
1-78	Однако	O	
1-79	,	O	
1-80	имеются	O	
1-81	модели	B-NC	
1-82	с	O	
1-83	добавленными	O	
1-84	перчатками	B-NC	
1-85	,	O	
1-86	чулками	B-NC	
1-87	и	O	
1-88	масками	B-NC	
1-89	и	O	
1-90	капюшоном	B-NC	
1-91	.	O	
1-92	Застёжка	B-NC	
1-93	-	O	
1-94	молния	B-NC	
1-95	может	O	
1-96	располагаться	O	
1-97	спереди	O	
1-98	(	O	
1-99	с	O	
1-100	двумя	O	
1-101	-	O	
1-102	тремя	O	
1-103	бегунками	B-NC	
1-104	,	O	
1-105	от	O	
1-106	копчика	B-NC	
1-107	через	O	
1-108	пах	B-NC	
1-109	до	O	
1-110	верха	B-NC	
1-111	воротника	B-NC	
1-112	)	O	
1-113	или	O	
1-114	сзади	O	
1-115	(	O	
1-116	с	O	
1-117	двумя	O	
1-118	-	O	
1-119	тремя	O	
1-120	бегунками	B-NC	
1-121	,	O	
1-122	от	O	
1-123	пупка	B-NC	
1-124	через	O	
1-125	пах	B-NC	
1-126	до	O	
1-127	верха	B-NC	
1-128	воротника	B-NC	
1-129	)	O	

