 # webanno.custom.Entity | NC
#id=1
#text=Глаз ( лат . oculus ) — сенсорный орган ( орган зрительной системы ) животных , обладающий способностью воспринимать электромагнитное излучение в световом диапазоне длин волн и обеспечивающий функцию зрения . У человека через глаз поступает около 90 % информации из окружающего мира[1 ]
1-1	Глаз	B-NC	
1-2	(	O	
1-3	лат	O	
1-4	.	O	
1-5	oculus	O	
1-6	)	O	
1-7	—	O	
1-8	сенсорный	O	
1-9	орган	B-NC	
1-10	(	O	
1-11	орган	B-NC	
1-12	зрительной	O	
1-13	системы	B-NC	
1-14	)	O	
1-15	животных	B-NC	
1-16	,	O	
1-17	обладающий	O	
1-18	способностью	B-NC	
1-19	воспринимать	O	
1-20	электромагнитное	O	
1-21	излучение	B-NC	
1-22	в	O	
1-23	световом	O	
1-24	диапазоне	B-NC	
1-25	длин	O	
1-26	волн	B-NC	
1-27	и	O	
1-28	обеспечивающий	O	
1-29	функцию	B-NC	
1-30	зрения	B-NC	
1-31	.	O	
1-32	У	O	
1-33	человека	B-NC	
1-34	через	O	
1-35	глаз	B-NC	
1-36	поступает	O	
1-37	около	O	
1-38	90	O	
1-39	%	O	
1-40	информации	B-NC	
1-41	из	O	
1-42	окружающего	O	
1-43	мира[1	B-NC	
1-44	]	O	

#id=2
#text=Глаз позвоночных животных представляет собой периферическую часть зрительного анализатора , в котором фоторецепторную функцию выполняют нейросенсорные ( фоторецепторные ) клетки сетчатки[2 ]
2-1	Глаз	B-NC	
2-2	позвоночных	O	
2-3	животных	B-NC	
2-4	представляет	O	
2-5	собой	O	
2-6	периферическую	O	
2-7	часть	B-NC	
2-8	зрительного	O	
2-9	анализатора	B-NC	
2-10	,	O	
2-11	в	O	
2-12	котором	O	
2-13	фоторецепторную	O	
2-14	функцию	B-NC	
2-15	выполняют	O	
2-16	нейросенсорные	O	
2-17	(	O	
2-18	фоторецепторные	O	
2-19	)	O	
2-20	клетки	B-NC	
2-21	сетчатки[2	O	
2-22	]	O	

