 # webanno.custom.Entity | NC
#id=1
#text=Langsam löste sie vor dem Kaminspiegel ihre Haare auf , dann blickte sie wehmütig auf den Ring , den sie am Ringfinger der linken Hand trug , ein silbernes Ringlein , mit dem ganz verwischten und unkenntlichen Kopf Marats geschmückt . Sie blickte ihn an , bis die Tränen ihre Blicke umflorten , zog ihn sanft ab und warf ihn in die Flammen
1-1	Langsam	O	
1-2	löste	O	
1-3	sie	O	
1-4	vor	O	
1-5	dem	O	
1-6	Kaminspiegel	B-NC	
1-7	ihre	O	
1-8	Haare	B-NC	
1-9	auf	O	
1-10	,	O	
1-11	dann	O	
1-12	blickte	O	
1-13	sie	O	
1-14	wehmütig	O	
1-15	auf	O	
1-16	den	O	
1-17	Ring	B-NC	
1-18	,	O	
1-19	den	O	
1-20	sie	O	
1-21	am	O	
1-22	Ringfinger	B-NC	
1-23	der	O	
1-24	linken	O	
1-25	Hand	B-NC	
1-26	trug	O	
1-27	,	O	
1-28	ein	O	
1-29	silbernes	O	
1-30	Ringlein	B-NC	
1-31	,	O	
1-32	mit	O	
1-33	dem	O	
1-34	ganz	O	
1-35	verwischten	O	
1-36	und	O	
1-37	unkenntlichen	O	
1-38	Kopf	B-NC	
1-39	Marats	B-NC	
1-40	geschmückt	O	
1-41	.	O	
1-42	Sie	O	
1-43	blickte	O	
1-44	ihn	O	
1-45	an	O	
1-46	,	O	
1-47	bis	O	
1-48	die	O	
1-49	Tränen	B-NC	
1-50	ihre	O	
1-51	Blicke	B-NC	
1-52	umflorten	O	
1-53	,	O	
1-54	zog	O	
1-55	ihn	O	
1-56	sanft	O	
1-57	ab	O	
1-58	und	O	
1-59	warf	O	
1-60	ihn	O	
1-61	in	O	
1-62	die	O	
1-63	Flammen	B-NC	

#id=2
#text=Dann warf sie sich , strahlend von Tränen und Lächeln , schön vor Zärtlichkeit und Liebe , in Philipps Arme
2-1	Dann	O	
2-2	warf	O	
2-3	sie	O	
2-4	sich	O	
2-5	,	O	
2-6	strahlend	O	
2-7	von	O	
2-8	Tränen	B-NC	
2-9	und	O	
2-10	Lächeln	B-NC	
2-11	,	O	
2-12	schön	O	
2-13	vor	O	
2-14	Zärtlichkeit	B-NC	
2-15	und	O	
2-16	Liebe	B-NC	
2-17	,	O	
2-18	in	O	
2-19	Philipps	B-NC	
2-20	Arme	B-NC	

#id=3
#text=Es war tief in der Nacht , als die Bürgerin Blaise ihrem Geliebten die Wohnungstür öffnete und ihm im Dunkeln zuflüsterte
3-1	Es	B-NC	
3-2	war	O	
3-3	tief	O	
3-4	in	O	
3-5	der	O	
3-6	Nacht	B-NC	
3-7	,	O	
3-8	als	O	
3-9	die	O	
3-10	Bürgerin	B-NC	
3-11	Blaise	B-NC	
3-12	ihrem	O	
3-13	Geliebten	B-NC	
3-14	die	O	
3-15	Wohnungstür	B-NC	
3-16	öffnete	O	
3-17	und	O	
3-18	ihm	O	
3-19	im	O	
3-20	Dunkeln	B-NC	
3-21	zuflüsterte	O	

#id=4
#text=»Lebe wohl , Geliebter . . . Um diese Zeit kann mein Vater heimkehren . Hörst du Geräusch auf der Treppe , so steige rasch in den zweiten Stock hinauf und gehe erst wieder hinunter , wenn keine Gefahr mehr ist , daß er dich sieht . Klopfe dreimal ans Fenster der Portierloge , damit dir die Haustür geöffnet wird . Leb wohl , mein Leben ! Leb wohl , meine Seele !
4-1	»Lebe	O	
4-2	wohl	O	
4-3	,	O	
4-4	Geliebter	B-NC	
4-5	.	O	
4-6	.	O	
4-7	.	O	
4-8	Um	O	
4-9	diese	O	
4-10	Zeit	B-NC	
4-11	kann	O	
4-12	mein	O	
4-13	Vater	B-NC	
4-14	heimkehren	O	
4-15	.	O	
4-16	Hörst	O	
4-17	du	O	
4-18	Geräusch	B-NC	
4-19	auf	O	
4-20	der	O	
4-21	Treppe	B-NC	
4-22	,	O	
4-23	so	O	
4-24	steige	O	
4-25	rasch	O	
4-26	in	O	
4-27	den	O	
4-28	zweiten	O	
4-29	Stock	B-NC	
4-30	hinauf	O	
4-31	und	O	
4-32	gehe	O	
4-33	erst	O	
4-34	wieder	O	
4-35	hinunter	O	
4-36	,	O	
4-37	wenn	O	
4-38	keine	O	
4-39	Gefahr	B-NC	
4-40	mehr	O	
4-41	ist	O	
4-42	,	O	
4-43	daß	O	
4-44	er	O	
4-45	dich	O	
4-46	sieht	O	
4-47	.	O	
4-48	Klopfe	O	
4-49	dreimal	O	
4-50	ans	O	
4-51	Fenster	B-NC	
4-52	der	O	
4-53	Portierloge	B-NC	
4-54	,	O	
4-55	damit	O	
4-56	dir	O	
4-57	die	O	
4-58	Haustür	B-NC	
4-59	geöffnet	O	
4-60	wird	O	
4-61	.	O	
4-62	Leb	O	
4-63	wohl	O	
4-64	,	O	
4-65	mein	O	
4-66	Leben	B-NC	
4-67	!	O	
4-68	Leb	O	
4-69	wohl	O	
4-70	,	O	
4-71	meine	O	
4-72	Seele	B-NC	
4-73	!	O	

#id=5
#text=Die letzten Scheite verglommen im Kamin . Elodies Kopf sank glücklich und müde ins Kissen
5-1	Die	O	
5-2	letzten	O	
5-3	Scheite	B-NC	
5-4	verglommen	O	
5-5	im	O	
5-6	Kamin	B-NC	
5-7	.	O	
5-8	Elodies	O	
5-9	Kopf	B-NC	
5-10	sank	O	
5-11	glücklich	O	
5-12	und	O	
5-13	müde	O	
5-14	ins	O	
5-15	Kissen	B-NC	

